post_id,post,post_type,language,intent,sentiment_label,sentiment_confidence,category,topic,severity_level,risk_score,compliance_flag,product,summary,recommended_action,escalation_required,created_at
P144,Credit card payment not reflected even after 48 hours,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,60,FALSE,Credit Card,Delayed payment issue,Respond customer,FALSE,11-04-2026 16:06
P145,UPI services are completely down since morning,Complaint,English,Complaint,Negative,0.95,Payments,UPI outage,High,92,FALSE,UPI,Service outage reported,Escalate operations,TRUE,11-04-2026 16:33
P146,"Customer support resolved my issue in minutes, very happy",Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive support experience,Monitor only,FALSE,10-04-2026 17:02
P147,Someone attempted unauthorized password reset on my account,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset fraud,Critical,99,TRUE,Net Banking,Account security threat,Escalate fraud team,TRUE,10-04-2026 09:02
P148,Loan approval process is acceptable but slower than expected,Feedback,English,Feedback,Neutral,0.76,Loans,Loan processing delay,Medium,45,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,10-04-2026 09:14
P149,ATM deducted money but did not dispense cash,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,88,FALSE,ATM,ATM transaction failure,Escalate operations,TRUE,10-04-2026 09:29
P150,App crashes frequently during UPI payments,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,86,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,10-04-2026 09:36
P151,"Received instant cashback on transaction, great experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward feedback,Monitor only,FALSE,10-04-2026 10:06
P152,"Fake call asking for CVV details immediately, seems suspicious",Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,96,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,12-04-2026 10:17
P153,Branch staff was very courteous and helpful during visit,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Positive branch feedback,Monitor only,FALSE,12-04-2026 10:33
P154,Transaction failed but amount was still deducted from account,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,89,FALSE,UPI,Transaction mismatch issue,Escalate operations,TRUE,10-04-2026 10:48
P155,Loan interest rates are fine but approval takes too long,Feedback,English,Feedback,Neutral,0.75,Loans,Loan delay,Medium,46,FALSE,Loan,Processing delay feedback,Monitor,FALSE,12-04-2026 11:04
P156,Suspicious email asking to verify bank account details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,10-04-2026 11:13
P157,Net banking interface is not very user friendly compared to others,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX comparison feedback,Monitor,FALSE,10-04-2026 11:26
P158,UPI transfer failed but money got debited from account,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,87,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,10-04-2026 12:09
P159,Festive offers this year are really attractive and useful,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,10-04-2026 12:21
P160,Account suddenly blocked without any explanation or warning,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,93,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,10-04-2026 12:38
P161,UPI payment failed but amount was deducted instantly,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,86,FALSE,UPI,Debit without success,Escalate operations,TRUE,10-04-2026 13:03
P162,Received SMS asking to share OTP for account verification,Fraud,English,Fraud report,Negative,0.97,Fraud,OTP phishing SMS,Critical,98,TRUE,SMS Alerts,OTP scam detected,Escalate fraud team,TRUE,10-04-2026 13:17
P163,Mobile app performance has improved significantly after update,Feedback,English,Praise,Positive,0.88,Digital Banking,App improvement,Low,8,FALSE,Mobile App,Positive app feedback,Monitor only,FALSE,10-04-2026 13:42
P164,Credit card payment not updated in statement even after days,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,60,FALSE,Credit Card,Billing mismatch issue,Respond customer,FALSE,10-04-2026 14:11
P165,UPI services are completely unavailable in my region,Complaint,English,Complaint,Negative,0.95,Payments,UPI outage,High,92,FALSE,UPI,Service outage reported,Escalate operations,TRUE,12-04-2026 14:25
P166,Customer care resolved my issue very quickly and politely,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive support experience,Monitor only,FALSE,10-04-2026 15:08
P167,Someone tried to reset my password without authorization,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset attempt,Critical,99,TRUE,Net Banking,Account security threat,Escalate fraud team,TRUE,10-04-2026 15:34
P168,Loan approval process is fine but takes too long,Feedback,English,Feedback,Neutral,0.76,Loans,Loan processing delay,Medium,45,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,12-04-2026 16:02
P169,ATM deducted money but cash was not dispensed,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,88,FALSE,ATM,ATM transaction issue,Escalate operations,TRUE,10-04-2026 16:19
P170,App crashes repeatedly during UPI transactions,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,86,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,10-04-2026 17:07
P171,"Received cashback instantly, very smooth experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward feedback,Monitor only,FALSE,11-04-2026 09:07
P172,Fake call asking for CVV details immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,96,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,11-04-2026 09:21
P173,Branch staff was very courteous and supportive,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,11-04-2026 09:44
P174,Transaction failed but money was still deducted,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,89,FALSE,UPI,Transaction mismatch issue,Escalate operations,TRUE,12-04-2026 19:36
P175,Loan interest rates are acceptable but processing is slow,Feedback,English,Feedback,Neutral,0.75,Loans,Loan delay,Medium,46,FALSE,Loan,Processing delay feedback,Monitor,FALSE,12-04-2026 20:36
P176,Suspicious email asking to verify bank account urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,11-04-2026 10:18
P177,Net banking interface is confusing compared to competitor banks,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX feedback vs competitors,Monitor,FALSE,11-04-2026 19:36
P178,UPI transfer failed but money got debited from account,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,87,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,12-04-2026 10:36
P179,Festive offers this year are very attractive and useful,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,11-04-2026 11:09
P180,Account suddenly blocked without any explanation or warning,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,93,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,11-04-2026 11:22
P181,Bank is offering guaranteed 15% returns on fixed deposits,Fraud,English,Fraud report,Negative,0.96,Marketing,Misleading financial claim,Critical,97,TRUE,Fixed Deposit,Potential mis-selling / false promise,Escalate compliance team,TRUE,11-04-2026 19:22
P182,Agent promised loan approval without credit check,Complaint,English,Complaint,Negative,0.93,Loans,Improper lending practice,High,90,TRUE,Loan,Policy violation in lending,Escalate compliance team,TRUE,11-04-2026 12:14
P183,Received investment advice from bank employee via WhatsApp,Fraud,English,Fraud report,Negative,0.95,Fraud,Unauthorized advisory,Critical,95,TRUE,Wealth Management,Unapproved financial advisory,Escalate compliance + legal,TRUE,11-04-2026 12:41
P184,UPI transaction processed without user consent notification,Complaint,English,Complaint,Negative,0.94,Payments,Consent violation,Critical,96,TRUE,UPI,Unauthorized transaction flow,Escalate compliance + ops,TRUE,11-04-2026 20:41
P185,Bank staff asked for Aadhaar and OTP over phone,Fraud,English,Fraud report,Negative,0.97,Fraud,Sensitive data request,Critical,99,TRUE,KYC,Sensitive data misuse risk,Escalate fraud + compliance,TRUE,11-04-2026 13:03
P186,Hidden charges not disclosed during credit card signup,Complaint,English,Complaint,Negative,0.92,Loans,Fee transparency issue,High,88,TRUE,Credit Card,Non-transparent fee disclosure,Escalate compliance team,TRUE,11-04-2026 13:27
P187,Loan EMI increased without prior notice,Complaint,English,Complaint,Negative,0.93,Loans,Unnotified change,Critical,94,TRUE,Loan,Unapproved EMI change complaint,Escalate compliance team,TRUE,12-04-2026 13:27
P188,Bank advertising 'zero fees' but charges applied later,Complaint,English,Complaint,Negative,0.94,Marketing,False advertisement,Critical,96,TRUE,Savings Account,Misleading advertising claim,Escalate compliance + legal,TRUE,12-04-2026 09:06
P189,Account opened without explicit consent after KYC visit,Fraud,English,Fraud report,Negative,0.98,Fraud,Unauthorized account opening,Critical,99,TRUE,Bank Account,Consent violation in onboarding,Escalate compliance + audit,TRUE,12-04-2026 09:19
P190,Bank app sharing user data with third-party without consent,Complaint,English,Complaint,Negative,0.95,Digital Banking,Data privacy breach,Critical,98,TRUE,Mobile App,Data privacy concern,Escalate compliance + legal,TRUE,12-04-2026 09:35
P191,Loan approval mentioned 'pre-approved' but got rejected later,Complaint,English,Complaint,Negative,0.9,Loans,Misleading pre-approval,High,87,TRUE,Loan,Misleading loan communication,Escalate compliance team,TRUE,10-04-2026 19:35
P192,Bank charges for failed transaction without refund,Complaint,English,Complaint,Negative,0.93,Payments,Fee unfairness,High,89,TRUE,UPI,Improper fee deduction,Escalate compliance team,TRUE,12-04-2026 10:11
P193,Employee shared internal interest rates in public forum,Fraud,English,Fraud report,Negative,0.92,Fraud,Confidential data leak,Critical,97,TRUE,Loan,Internal data exposure risk,Escalate compliance + security,TRUE,12-04-2026 10:28
P194,Bank denying refund without proper explanation for failed UPI,Complaint,English,Complaint,Negative,0.91,Payments,Refund denial,High,90,TRUE,UPI,Dispute resolution failure,Escalate compliance + ops,TRUE,12-04-2026 13:05
P195,Misleading SMS says account will close unless immediate payment done,Fraud,English,Fraud report,Negative,0.97,Fraud,Threat-based scam,Critical,99,TRUE,SMS Alerts,Scam impersonating bank,Escalate fraud team,TRUE,10-04-2026 18:35
P196,Bank representative forced insurance product during loan approval,Complaint,English,Complaint,Negative,0.92,Loans,Mis-selling insurance,Critical,95,TRUE,Loan,Unethical cross-selling,Escalate compliance team,TRUE,12-04-2026 11:08
P197,App shows incorrect interest rate compared to official statement,Complaint,English,Complaint,Negative,0.89,Digital Banking,Incorrect disclosure,High,88,TRUE,Mobile App,Data inconsistency issue,Escalate compliance + tech,TRUE,12-04-2026 11:23
P198,Bank blocked account after complaint without notice or reason,Complaint,English,Complaint,Negative,0.94,Customer Service,Account freeze dispute,Critical,93,TRUE,Bank Account,Unjustified account restriction,Escalate compliance team,TRUE,10-04-2026 11:23
P199,Agent promised cashback not mentioned in official terms,Complaint,English,Complaint,Negative,0.9,Marketing,Unverified offer promise,High,86,TRUE,Credit Card,Misleading promotional promise,Escalate compliance team,TRUE,12-04-2026 12:16
P200,Bank collecting biometric data without clear consent notice,Fraud,English,Fraud report,Negative,0.96,Fraud,Data privacy violation,Critical,98,TRUE,KYC,Privacy compliance breach risk,Escalate compliance + legal,TRUE,12-04-2026 12:39
P201,UPI payment failed but amount was debited instantly,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,86,FALSE,UPI,Debit without success,Escalate operations,TRUE,12-04-2026 13:05
P202,Received fake SMS asking for OTP verification urgently,Fraud,English,Fraud report,Negative,0.97,Fraud,OTP phishing SMS,Critical,98,TRUE,SMS Alerts,OTP scam detected,Escalate fraud team,TRUE,12-04-2026 13:05
P203,Bank promised instant loan approval but delayed for weeks,Complaint,English,Complaint,Negative,0.92,Loans,Loan delay promise breach,High,89,TRUE,Loan,Misleading service promise,Escalate compliance team,TRUE,12-04-2026 13:31
P204,App performance has improved significantly after update,Feedback,English,Praise,Positive,0.88,Digital Banking,App improvement,Low,9,FALSE,Mobile App,Positive app feedback,Monitor only,FALSE,12-04-2026 13:52
P205,Credit card payment not updated even after 3 days,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,60,FALSE,Credit Card,Billing mismatch issue,Respond customer,FALSE,01-04-2026 00:12
P206,Bank agent forced me to buy insurance with loan,Complaint,English,Complaint,Negative,0.93,Loans,Mis-selling insurance,Critical,95,TRUE,Loan,Forced product bundling,Escalate compliance team,TRUE,01-04-2026 08:34
P207,Customer care resolved my issue quickly and politely,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive service experience,Monitor only,FALSE,01-04-2026 21:47
P208,Someone tried to reset my password without authorization,Fraud,English,Fraud report,Negative,0.97,Fraud,Password reset attempt,Critical,99,TRUE,Net Banking,Account security threat,Escalate fraud team,TRUE,12-04-2026 13:05
P209,Loan approval process is acceptable but slower than expected,Feedback,English,Feedback,Neutral,0.76,Loans,Loan processing delay,Medium,45,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,02-04-2026 02:15
P210,ATM deducted money but cash was not dispensed,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,88,FALSE,ATM,ATM transaction failure,Escalate operations,TRUE,02-04-2026 09:22
P211,App crashes repeatedly during UPI transactions,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,86,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,02-04-2026 09:58
P212,"Received cashback instantly, very smooth experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward feedback,Monitor only,FALSE,02-04-2026 18:36
P213,Fake call asking for CVV details immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,CVV scam call,Critical,96,TRUE,Credit Card,Sensitive data scam,Escalate fraud team,TRUE,12-04-2026 13:05
P214,Branch staff was very courteous and helpful,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,03-04-2026 05:11
P215,Transaction failed but money was still deducted,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,89,FALSE,UPI,Transaction mismatch issue,Escalate operations,TRUE,03-04-2026 11:49
P216,Loan interest rates are fine but processing is slow,Feedback,English,Feedback,Neutral,0.75,Loans,Loan delay,Medium,46,FALSE,Loan,Processing delay feedback,Monitor,FALSE,03-04-2026 23:05
P217,Suspicious email asking to verify bank account details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,10-04-2026 19:35
P218,Net banking interface is confusing compared to competitors,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX feedback vs competitors,Monitor,FALSE,04-04-2026 07:28
P219,UPI transfer failed but money got debited from account,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,87,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,04-04-2026 14:16
P220,Festive offers are really attractive and useful this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,04-04-2026 14:45
P221,Account suddenly blocked without any explanation or warning,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,93,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,04-04-2026 22:33
P222,Bank deducted charges without informing me properly,Complaint,English,Complaint,Negative,0.92,Payments,Hidden charges,High,90,TRUE,Savings Account,Non-transparent charges,Escalate compliance team,TRUE,05-04-2026 10:08
P223,Employee shared internal rate details on social media,Fraud,English,Fraud report,Negative,0.93,Fraud,Data leak,Critical,97,TRUE,Loan,Confidential data exposure,Escalate compliance + security,TRUE,05-04-2026 03:19
P224,Bank app shows incorrect balance compared to ATM receipt,Complaint,English,Complaint,Negative,0.9,Digital Banking,Balance mismatch,High,88,TRUE,Mobile App,Data inconsistency issue,Escalate ops + tech,TRUE,05-04-2026 10:08
P225,Loan EMI increased without prior customer notification,Complaint,English,Complaint,Negative,0.94,Loans,EMI change issue,Critical,94,TRUE,Loan,Unnotified EMI change,Escalate compliance team,TRUE,05-04-2026 19:57
P226,UPI payment failed but money deducted instantly again,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,87,FALSE,UPI,Repeated debit failure issue,Escalate operations,TRUE,03-04-2026 11:49
P227,Received fake WhatsApp message asking for KYC update link,Fraud,English,Fraud report,Negative,0.97,Fraud,KYC phishing WhatsApp,Critical,99,TRUE,KYC,Social media phishing attempt,Escalate fraud team,TRUE,06-04-2026 01:44
P228,Loan agent promised approval within 5 minutes but not delivered,Complaint,English,Complaint,Negative,0.92,Loans,Misleading loan promise,High,90,TRUE,Loan,False promise in service,Escalate compliance team,TRUE,06-04-2026 12:21
P229,Mobile app is now working faster after the latest update,Feedback,English,Praise,Positive,0.88,Digital Banking,App performance,Low,8,FALSE,Mobile App,Positive app improvement,Monitor only,FALSE,06-04-2026 12:59
P230,Credit card payment not showing in statement after multiple days,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,61,FALSE,Credit Card,Delayed billing update,Respond customer,FALSE,06-04-2026 20:17
P231,Bank forced insurance add-on during personal loan application,Complaint,English,Complaint,Negative,0.94,Loans,Mis-selling insurance,Critical,96,TRUE,Loan,Forced product bundling complaint,Escalate compliance team,TRUE,02-04-2026 09:22
P232,Customer support resolved issue politely and efficiently,Feedback,English,Praise,Positive,0.87,Customer Service,Support resolution,Low,7,FALSE,,Positive service experience,Monitor only,FALSE,07-04-2026 06:03
P233,Unauthorized login attempt detected from unknown device,Fraud,English,Fraud report,Negative,0.97,Fraud,Account breach attempt,Critical,99,TRUE,Net Banking,Security breach attempt detected,Escalate fraud team,TRUE,07-04-2026 15:42
P234,Loan processing is okay but slower than expected timeline,Feedback,English,Feedback,Neutral,0.76,Loans,Loan delay,Medium,45,FALSE,Loan,Neutral loan experience,Monitor,FALSE,07-04-2026 23:38
P235,ATM deducted money but did not dispense cash again,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,89,FALSE,ATM,ATM failure issue repeated,Escalate operations,TRUE,08-04-2026 04:27
P236,App keeps crashing during every UPI transaction attempt,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,87,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,08-04-2026 04:27
P237,"Received instant cashback, very smooth and satisfying experience",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward experience,Monitor only,FALSE,08-04-2026 13:55
P238,Fake call asking for OTP and CVV immediately to verify account,Fraud,English,Fraud report,Negative,0.96,Fraud,OTP CVV scam call,Critical,97,TRUE,Credit Card,Sensitive data scam attempt,Escalate fraud team,TRUE,08-04-2026 17:31
P239,Branch staff was very polite and helpful during visit today,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch service feedback,Monitor only,FALSE,09-04-2026 04:27
P240,Transaction failed but money was still deducted from account,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,90,FALSE,UPI,Transaction mismatch issue,Escalate operations,TRUE,09-04-2026 04:27
P241,Loan interest rates are acceptable but approval takes too long,Feedback,English,Feedback,Neutral,0.75,Loans,Loan delay,Medium,46,FALSE,Loan,Processing delay feedback,Monitor,FALSE,06-04-2026 13:55
P242,Suspicious email asking to verify bank account details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,01-04-2026 17:31
P243,Net banking UI is confusing compared to competitor banks,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,41,FALSE,Net Banking,UX feedback vs competitors,Monitor,FALSE,11-04-2026 15:49
P244,UPI transfer failed but amount got debited from account,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,88,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,11-04-2026 16:06
P245,Festive offers are really attractive and useful this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,11-04-2026 16:33
P246,Account suddenly blocked without any explanation or warning again,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,93,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,10-04-2026 17:02
P247,Bank deducted charges without proper explanation or notification,Complaint,English,Complaint,Negative,0.92,Payments,Hidden charges,High,90,TRUE,Savings Account,Non-transparent charges issue,Escalate compliance team,TRUE,10-04-2026 09:02
P248,Employee accidentally shared internal rate sheet on social media,Fraud,English,Fraud report,Negative,0.93,Fraud,Data leak,Critical,97,TRUE,Loan,Confidential data exposure,Escalate compliance + security,TRUE,10-04-2026 09:14
P249,Bank app shows incorrect balance compared to actual transaction history,Complaint,English,Complaint,Negative,0.9,Digital Banking,Balance mismatch,High,88,TRUE,Mobile App,Data inconsistency issue,Escalate ops + tech,TRUE,10-04-2026 09:29
P250,Loan EMI increased without informing customer beforehand,Complaint,English,Complaint,Negative,0.94,Loans,EMI change issue,Critical,94,TRUE,Loan,Unnotified EMI change complaint,Escalate compliance team,TRUE,10-04-2026 09:36
P251,UPI payment failed but amount was deducted instantly again today,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,88,FALSE,UPI,Repeated debit failure issue,Escalate operations,TRUE,10-04-2026 10:06
P252,Fake WhatsApp message asking to verify KYC via suspicious link,Fraud,English,Fraud report,Negative,0.97,Fraud,KYC phishing WhatsApp,Critical,99,TRUE,KYC,Social media phishing attempt,Escalate fraud team,TRUE,12-04-2026 10:17
P253,Loan agent promised instant approval without documentation,Complaint,English,Complaint,Negative,0.92,Loans,Misleading loan promise,High,91,TRUE,Loan,False service promise,Escalate compliance team,TRUE,12-04-2026 10:33
P254,Mobile banking app feels much more stable after latest update,Feedback,English,Praise,Positive,0.88,Digital Banking,App performance,Low,8,FALSE,Mobile App,Positive app improvement,Monitor only,FALSE,10-04-2026 10:48
P255,Credit card payment still not reflected after multiple days,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,62,FALSE,Credit Card,Delayed payment issue,Respond customer,FALSE,12-04-2026 11:04
P256,Bank forced insurance product while approving loan application,Complaint,English,Complaint,Negative,0.94,Loans,Mis-selling insurance,Critical,96,TRUE,Loan,Forced bundling issue,Escalate compliance team,TRUE,10-04-2026 11:13
P257,Customer care resolved my issue quickly and professionally,Feedback,English,Praise,Positive,0.87,Customer Service,Fast resolution,Low,7,FALSE,,Positive service experience,Monitor only,FALSE,10-04-2026 11:26
P258,Unauthorized login attempt detected from foreign IP address,Fraud,English,Fraud report,Negative,0.97,Fraud,Account breach attempt,Critical,99,TRUE,Net Banking,Security breach attempt detected,Escalate fraud team,TRUE,10-04-2026 12:09
P259,Loan approval is okay but processing is slower than expected,Feedback,English,Feedback,Neutral,0.76,Loans,Loan delay,Medium,46,FALSE,Loan,Neutral loan feedback,Monitor,FALSE,10-04-2026 12:21
P260,ATM deducted money but cash was not dispensed again today,Complaint,English,Complaint,Negative,0.94,Payments,ATM cash failure,High,90,FALSE,ATM,ATM failure issue,Escalate operations,TRUE,10-04-2026 12:38
P261,App crashes frequently during UPI payment attempts,Complaint,English,Complaint,Negative,0.92,Digital Banking,App crash UPI,High,87,FALSE,Mobile App,App instability issue,Escalate ops,TRUE,10-04-2026 13:03
P262,"Received instant cashback after transaction, very satisfying",Promotion,English,Marketing engagement,Positive,0.9,Marketing,Cashback reward,Low,6,FALSE,Credit Card,Positive reward experience,Monitor only,FALSE,10-04-2026 13:17
P263,Fake call asking for OTP and CVV to verify account immediately,Fraud,English,Fraud report,Negative,0.96,Fraud,OTP CVV scam call,Critical,98,TRUE,Credit Card,Sensitive data scam attempt,Escalate fraud team,TRUE,10-04-2026 13:42
P264,Branch staff was extremely polite and helpful during visit,Feedback,English,Praise,Positive,0.86,Customer Service,Branch experience,Low,7,FALSE,Branch Service,Good branch feedback,Monitor only,FALSE,10-04-2026 14:11
P265,Transaction failed but money was still deducted from account again,Complaint,English,Complaint,Negative,0.94,Payments,Failed transaction debit,High,91,FALSE,UPI,Transaction mismatch issue,Escalate operations,TRUE,12-04-2026 14:25
P266,Loan interest rates are fine but approval takes too long,Feedback,English,Feedback,Neutral,0.75,Loans,Loan processing delay,Medium,47,FALSE,Loan,Processing delay feedback,Monitor,FALSE,10-04-2026 15:08
P267,Suspicious email asking to verify account details urgently,Fraud,English,Fraud report,Negative,0.96,Fraud,Email phishing,Critical,95,TRUE,Internet Banking,Phishing email detected,Escalate fraud team,TRUE,10-04-2026 15:34
P268,Net banking UI is confusing compared to other banks,Feedback,English,Comparison,Neutral,0.73,Digital Banking,UI comparison,Medium,42,FALSE,Net Banking,UX feedback vs competitors,Monitor,FALSE,12-04-2026 16:02
P269,UPI transfer failed but amount got debited from account again,Complaint,English,Complaint,Negative,0.94,Payments,UPI debit failure,High,89,FALSE,UPI,Transfer failure issue,Escalate operations,TRUE,10-04-2026 16:19
P270,Festive offers are very attractive and useful this year,Promotion,English,Marketing engagement,Positive,0.89,Marketing,Festive offers,Low,5,FALSE,Credit Card,Positive campaign response,Monitor only,FALSE,10-04-2026 17:07
P271,Account suddenly blocked without any explanation or warning again,Complaint,English,Complaint,Negative,0.95,Customer Service,Account freeze,Critical,94,TRUE,Bank Account,Unexpected account block,Escalate compliance team,TRUE,11-04-2026 09:07
P272,Bank deducted charges without informing properly or clearly,Complaint,English,Complaint,Negative,0.92,Payments,Hidden charges,High,90,TRUE,Savings Account,Non-transparent charges issue,Escalate compliance team,TRUE,11-04-2026 09:21
P273,Employee accidentally shared internal pricing sheet on social media,Fraud,English,Fraud report,Negative,0.93,Fraud,Data leak,Critical,97,TRUE,Loan,Confidential data exposure,Escalate compliance + security,TRUE,11-04-2026 09:44
P274,Bank app shows incorrect balance compared to transaction history,Complaint,English,Complaint,Negative,0.9,Digital Banking,Balance mismatch,High,89,TRUE,Mobile App,Data inconsistency issue,Escalate ops + tech,TRUE,12-04-2026 19:36
P275,Loan EMI increased without any prior customer notification,Complaint,English,Complaint,Negative,0.94,Loans,EMI change issue,Critical,95,TRUE,Loan,Unnotified EMI change complaint,Escalate compliance team,TRUE,01-04-2026 00:12
P276,UPI payment failed but money was debited instantly again,Complaint,English,Complaint,Negative,0.93,Payments,UPI debit failure,High,88,FALSE,UPI,Repeated debit failure issue,Escalate operations,TRUE,01-04-2026 08:34
P277,Fake SMS asking to update KYC using urgent verification link,Fraud,English,Fraud report,Negative,0.97,Fraud,KYC phishing SMS,Critical,99,TRUE,KYC,Phishing attempt detected,Escalate fraud team,TRUE,01-04-2026 21:47
P278,Loan agent promised instant approval but nothing happened,Complaint,English,Complaint,Negative,0.92,Loans,Misleading loan promise,High,91,TRUE,Loan,False service promise,Escalate compliance team,TRUE,12-04-2026 13:05
P279,Mobile banking app performance has improved a lot recently,Feedback,English,Praise,Positive,0.88,Digital Banking,App performance,Low,8,FALSE,Mobile App,Positive app feedback,Monitor only,FALSE,02-04-2026 02:15
P280,Credit card payment still not updated in statement after 5 days,Complaint,English,Complaint,Negative,0.9,Loans,Payment delay,Medium,62,FALSE,Credit Card,Delayed payment issue,Respond customer,FALSE,02-04-2026 09:22
